Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
,,,,,,,,Table_13,,,,,,,,,,,,All ages,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  e-cigarette use,30.4  [25.1-35.7],29.9  [24.8-35.1],20.3  [15.3-25.3],Footnote #,Footnote #,10.4Footnote *  [6.8-14.0],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,15-19,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  e-cigarette use,21.5Footnote ↓  [14.8-28.1],31.0  [23.8-38.1],21.0  [14.4-27.6],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,20-24,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  e-cigarette use,27.7  [19.5-35.9],27.3  [19.4-35.2],21.1Footnote *  [14.0-28.2],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,25+,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  e-cigarette use,36.3  [27.5-45.2],30.3  [21.5-39.1],Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,25-44,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  e-cigarette use,30.8Footnote *  [19.0-42.6],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,45+,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  e-cigarette use,46.9  [34.0-59.9],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,All ages,3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  cigarette use,8.0  [5.9-10.1],14.9  [12.0-17.8],24.5Footnote ↑  [20.9-28.1],8.9  [6.6-11.2],15.1  [12.5-17.7],28.6  [24.8-32.3],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,15-19,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  cigarette use,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,20-24,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  cigarette use,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,25+,3285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  cigarette use,7.1  [5.0-9.3],14.1  [10.9-17.3],24.1  [20.2-28.0],8.6  [6.2-11.1],15.1  [12.3-17.9],31.0  [26.9-35.0],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,25-44,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  cigarette use,Footnote #,18.9Footnote *  [12.6-25.2],29.7  [22.0-37.4],Footnote #,Footnote #,25.5Footnote ↓  [18.6-32.3],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,45+,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Past-30-day  cigarette use,8.0Footnote * [5.3-10.7],10.8 [7.7-14.0],20.3  [16.5-24.2],7.9Footnote * [5.3-10.5],18.3 [14.7-21.8],34.6 [29.8-39.5],,,,,,,,,,,,,,,
,,,,,,,,Table_13,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 13 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 13 note 1 referrer  Table 13 Note *  Moderate sampling variability, interpret with caution.  Return to table 13 note * referrer Table 13 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 13 note # referrer Table 13 Note ↑  Rounds up to whole number.  Return to table 13 note ↑ referrer Table 13 Note↓  Rounds down to whole number.  Return to table 13 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,
All Genders,,30906,,,,,,Table_14,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0  [6.3-7.8],29.4  [28.1-30.6],25.9  [24.7-27.1],37.7  [36.4-39.0],,,,,,,,,,,
Men,,15241,,,,,,Table_14,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0  [7.8-10.1],33.3  [31.4-35.3],24.0  [22.3-25.8],33.7  [31.7-35.6],,,,,,,,,,,
Women,,15651,,,,,,Table_14,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2  [4.2-6.1],25.5Footnote ↑  [24.0-27.1],27.7  [26.1-29.3],41.6  [39.8-43.4],,,,,,,,,,,
All  Genders,,2807,,,,,,Table_14,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,8.9  [7.1-10.8],25.7  [23.2-28.1],64.6  [61.8-67.5],,,,,,,,,,,
All  Genders,,1796,,,,,,Table_14,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,33.3  [29.9-36.7],38.4  [34.8-41.9],24.9  [21.8-28.0],,,,,,,,,,,
All  Genders,,26302,,,,,,Table_14,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9  [7.1-8.8],31.3  [29.9-32.7],25.1  [23.7-26.4],35.7  [34.2-37.2],,,,,,,,,,,
All  Genders,,9977,,,,,,Table_14,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5Footnote ↑  [3.4-5.7],34.0  [31.4-36.6],30.0  [27.4-32.5],31.5Footnote ↓  [28.9-34.1],,,,,,,,,,,
All  Genders,,16325,,,,,,Table_14,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0  [8.8-11.2],29.7  [28.1-31.2],22.1  [20.6-23.6],38.3  [36.5-40.1],,,,,,,,,,,
Men,,1436,,,,,,Table_14,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,10.0  [7.3-12.6],24.9  [21.2-28.6],64.2  [59.9-68.4],,,,,,,,,,,
Men,,941,,,,,,Table_14,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,35.4  [30.7-40.2],32.1  [27.5-36.8],26.6  [22.1-31.1],,,,,,,,,,,
Men,,12864,,,,,,Table_14,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1  [8.7-11.5],35.8  [33.5-38.1],23.3  [21.3-25.4],30.8  [28.6-33.0],,,,,,,,,,,
Men,,4949,,,,,,Table_14,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7  [3.9-7.6],38.4  [34.3-42.6],27.1  [23.2-30.9],28.8  [24.8-32.7],,,,,,,,,,,
Men,,7914,,,,,,Table_14,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8  [10.9-14.7],34.2  [31.7-36.6],21.0  [18.9-23.2],32.0  [29.5-34.5],,,,,,,,,,,
Women,,1361,,,,,,Table_14,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,7.6  [5.1-10.1],26.4  [22.8-30.1],65.4  [61.3-69.4],,,,,,,,,,,
Women,,852,,,,,,Table_14,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,31.0  [26.1-35.8],45.1  [39.7-50.4],23.2  [18.8-27.5],,,,,,,,,,,
Women,,13438,,,,,,Table_14,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9  [4.8-7.0],27.0  [25.2-28.8],26.7  [24.9-28.5],40.4  [38.3-42.4],,,,,,,,,,,
Women,,5028,,,,,,Table_14,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4Footnote *  [2.1-4.7],29.7  [26.4-33.0],32.8  [29.3-36.3],34.1  [30.4-37.9],,,,,,,,,,,
Women,,8410,,,,,,Table_14,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4  [5.8-9.0],25.4  [23.4-27.4],23.1  [21.0-25.1],44.1  [41.7-46.6],,,,,,,,,,,
"[95% confidence intervals in brackets]  Table 14 Note *  Moderate sampling variability, interpret with caution.  Return to table 14 note * referrer  Table 14 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 14 note # referrer  Table 14 Note ↑  Rounds up to whole number.  Return to table 14 note ↑ referrer  Table 14 Note↓  Rounds down to whole number.  Return to table 14 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,"[95% confidence intervals in brackets]  Table 14 Note *  Moderate sampling variability, interpret with caution.  Return to table 14 note * referrer  Table 14 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 14 note # referrer  Table 14 Note ↑  Rounds up to whole number.  Return to table 14 note ↑ referrer  Table 14 Note↓  Rounds down to whole number.  Return to table 14 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,Table_14,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 14 Note *  Moderate sampling variability, interpret with caution.  Return to table 14 note * referrer  Table 14 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 14 note # referrer  Table 14 Note ↑  Rounds up to whole number.  Return to table 14 note ↑ referrer  Table 14 Note↓  Rounds down to whole number.  Return to table 14 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 14 Note *  Moderate sampling variability, interpret with caution.  Return to table 14 note * referrer  Table 14 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 14 note # referrer  Table 14 Note ↑  Rounds up to whole number.  Return to table 14 note ↑ referrer  Table 14 Note↓  Rounds down to whole number.  Return to table 14 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 14 Note *  Moderate sampling variability, interpret with caution.  Return to table 14 note * referrer  Table 14 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 14 note # referrer  Table 14 Note ↑  Rounds up to whole number.  Return to table 14 note ↑ referrer  Table 14 Note↓  Rounds down to whole number.  Return to table 14 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 14 Note *  Moderate sampling variability, interpret with caution.  Return to table 14 note * referrer  Table 14 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 14 note # referrer  Table 14 Note ↑  Rounds up to whole number.  Return to table 14 note ↑ referrer  Table 14 Note↓  Rounds down to whole number.  Return to table 14 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 14 Note *  Moderate sampling variability, interpret with caution.  Return to table 14 note * referrer  Table 14 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 14 note # referrer  Table 14 Note ↑  Rounds up to whole number.  Return to table 14 note ↑ referrer  Table 14 Note↓  Rounds down to whole number.  Return to table 14 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,
All Genders,,30929,,,,,,Table_15,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4  [2.8-3.9],2.9  [2.4-3.3],4.3  [3.7-4.8],89.5Footnote ↑  [88.7-90.4],,,,,,,,,,,
Men,,15254,,,,,,Table_15,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6  [3.7-5.5],3.7  [2.9-4.4],4.5Footnote ↑  [3.7-5.4],87.2  [85.8-88.5],,,,,,,,,,,
Women,,15660,,,,,,Table_15,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0  [1.5-2.6],2.1  [1.6-2.6],4.0  [3.3-4.7],91.9  [90.9-92.9],,,,,,,,,,,
All  Genders,,2816,,,,,,Table_15,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6Footnote *  [1.6-3.6],3.5Footnote ↑Footnote *  [2.3-4.8],6.7  [5.1-8.3],87.1  [85.0-89.3],,,,,,,,,,,
All  Genders,,1801,,,,,,Table_15,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3  [5.5-9.2],6.6  [4.9-8.4],11.9  [9.6-14.1],74.2  [71.2-77.2],,,,,,,,,,,
All  Genders,,26312,,,,,,Table_15,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2  [2.6-3.8],2.5Footnote ↑  [2.0-3.0],3.5Footnote ↓  [2.9-4.1],90.8  [89.9-91.7],,,,,,,,,,,
All  Genders,,9975,,,,,,Table_15,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6  [4.2-7.1],4.7  [3.6-5.9],6.4  [5.0-7.8],83.2  [81.1-85.4],,,,,,,,,,,
All  Genders,,16337,,,,,,Table_15,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6  [1.2-2.1],1.2  [0.9-1.6],1.7  [1.2-2.1],95.5Footnote ↓  [94.8-96.2],,,,,,,,,,,
Men,,1439,,,,,,Table_15,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,5.6Footnote *  [3.6-7.6],86.7  [83.7-89.7],,,,,,,,,,,
Men,,942,,,,,,Table_15,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8  [7.6-14.0],7.6Footnote *  [5.0-10.2],10.7  [7.7-13.7],70.9  [66.5-75.3],,,,,,,,,,,
Men,,12873,,,,,,Table_15,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3  [3.2-5.3],3.4  [2.5-4.2],4.0  [3.0-4.9],88.4  [86.9-89.9],,,,,,,,,,,
Men,,4951,,,,,,Table_15,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7Footnote *  [5.2-10.3],6.1  [4.1-8.0],7.5Footnote ↑  [5.2-9.8],78.7  [75.0-82.3],,,,,,,,,,,
Men,,7922,,,,,,Table_15,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1  [1.4-2.8],1.7Footnote *  [1.1-2.3],1.7Footnote *  [1.1-2.3],94.5Footnote ↑  [93.5-95.6],,,,,,,,,,,
Women,,1367,,,,,,Table_15,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,7.9  [5.4-10.4],88.2  [85.2-91.2],,,,,,,,,,,
Women,,854,,,,,,Table_15,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,13.1  [9.5-16.6],78.2  [74.0-82.5],,,,,,,,,,,
Women,,13439,,,,,,Table_15,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1  [1.5-2.7],1.8  [1.2-2.3],3.0  [2.3-3.7],93.1  [92.1-94.2],,,,,,,,,,,
Women,,5024,,,,,,Table_15,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6Footnote *  [2.3-4.9],3.4Footnote *  [2.1-4.7],5.3  [3.7-7.0],87.7  [85.3-90.1],,,,,,,,,,,
Women,,8415,,,,,,Table_15,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2Footnote *  [0.6-1.8],Footnote #,1.6Footnote *  [1.0-2.3],96.4 [95.4-97.3],,,,,,,,,,,
